11.0,17.0,18.0,17.0,11.0,8.0,12.0,0.0,25.0,29.0,36.0,36.0,28.0,28.0,24.0
6.0,9.0,5.0,10.0,9.0,4.0,3.0,1.0,18.0,22.0,17.0,20.0,15.0,10.0,17.0
15.0,9.0,8.0,10.0,11.0,9.0,8.0,2.0,8.0,14.0,15.0,14.0,13.0,7.0,11.0
27.0,28.0,12.0,28.0,17.0,18.0,19.0,3.0,14.0,12.0,12.0,12.0,11.0,9.0,15.0
58.0,51.0,31.0,25.0,64.0,60.0,46.0,4.0,47.0,50.0,33.0,15.0,27.0,56.0,53.0
127.0,119.0,59.0,26.0,134.0,128.0,117.0,5.0,62.0,51.0,38.0,25.0,66.0,49.0,62.0
200.0,170.0,75.0,52.0,192.0,204.0,185.0,6.0,128.0,116.0,81.0,47.0,140.0,141.0,117.0
203.0,179.0,101.0,83.0,202.0,203.0,187.0,7.0,163.0,167.0,152.0,72.0,227.0,178.0,166.0
228.0,189.0,193.0,113.0,217.0,215.0,211.0,8.0,207.0,230.0,188.0,115.0,218.0,189.0,195.0
241.0,220.0,284.0,204.0,227.0,237.0,231.0,9.0,237.0,221.0,260.0,167.0,180.0,213.0,187.0
256.0,275.0,301.0,291.0,243.0,226.0,241.0,10.0,263.0,265.0,281.0,182.0,228.0,259.0,230.0
217.0,260.0,295.0,348.0,255.0,202.0,192.0,11.0,264.0,267.0,296.0,246.0,249.0,192.0,240.0
255.0,243.0,283.0,339.0,212.0,210.0,229.0,12.0,235.0,282.0,247.0,276.0,224.0,183.0,228.0
253.0,237.0,258.0,315.0,266.0,202.0,235.0,13.0,230.0,284.0,205.0,238.0,213.0,212.0,194.0
249.0,286.0,259.0,307.0,221.0,269.0,248.0,14.0,261.0,320.0,233.0,227.0,253.0,226.0,196.0
271.0,302.0,281.0,340.0,240.0,244.0,245.0,15.0,295.0,330.0,239.0,237.0,256.0,262.0,266.0
274.0,326.0,260.0,361.0,260.0,254.0,290.0,16.0,279.0,370.0,228.0,253.0,278.0,262.0,281.0
274.0,355.0,283.0,339.0,239.0,270.0,299.0,17.0,261.0,383.0,252.0,262.0,253.0,227.0,249.0
200.0,232.0,203.0,271.0,173.0,178.0,176.0,18.0,197.0,265.0,202.0,210.0,163.0,179.0,177.0
121.0,168.0,143.0,153.0,102.0,119.0,101.0,19.0,157.0,239.0,175.0,170.0,162.0,135.0,160.0
78.0,111.0,96.0,87.0,62.0,50.0,51.0,20.0,113.0,147.0,136.0,134.0,114.0,112.0,89.0
56.0,76.0,59.0,57.0,43.0,37.0,36.0,21.0,74.0,110.0,101.0,81.0,82.0,87.0,67.0
37.0,36.0,46.0,30.0,30.0,32.0,35.0,22.0,59.0,83.0,79.0,52.0,51.0,46.0,42.0
17.0,32.0,25.0,26.0,26.0,11.0,18.0,23.0,32.0,71.0,64.0,48.0,46.0,45.0,41.0
